id;level;parent_id;name;lat;lon;min_lat;max_lat;min_lon;max_lon;geometry_wkt
2661400;3;633072;Barcelona;414.301.628.628.141;220.493.637.400.525;414.277.850.820.159;414.325.406.132.981;22.017.770.887.566;220.809.586.381.577;POLYGON((2.2017770887566 41.4280554205578,2.20213611806026 41.4325406132981,2.20809586381577 41.4322702323793,2.20773642773403 41.4277850820159,2.2017770887566 41.4280554205578))
2661401;3;633072;Barcelona;414.256.776.882.261;220.457.718.196.306;414.232.999.255.853;414.280.554.205.578;220.141.814.070.959;220.773.642.773.403;POLYGON((2.20141814070959 41.4235702217561,2.2017770887566 41.4280554205578,2.20773642773403 41.4277850820159,2.20737707300007 41.4232999255853,2.20141814070959 41.4235702217561))
2661402;3;633073;Barcelona;414.169.773.999.157;219.790.067.868.909;414.145.998.059.714;414.193.549.635.357;219.474.228.791.791;220.105.927.389.814;POLYGON((2.19474228791791 41.4148697103016,2.19510066698902 41.4193549635357,2.20105927389814 41.4190850168937,2.20070048830121 41.4145998059714,2.19474228791791 41.4148697103016))
2661403;3;633073;Barcelona;414.214.626.289.694;219.825.930.160.819;414.190.850.168.937;414.238.402.107.157;219.510.066.698.902;220.141.814.070.959;POLYGON((2.19510066698902 41.4193549635357,2.19545912718354 41.4238402107157,2.20141814070959 41.4235702217561,2.20105927389814 41.4190850168937,2.19510066698902 41.4193549635357))
2661404;3;633073;Barcelona;414.211.925.075.742;220.421.807.121.253;414.188.147.630.882;414.235.702.217.561;220.105.927.389.814;220.737.707.300.007;POLYGON((2.20105927389814 41.4190850168937,2.20141814070959 41.4235702217561,2.20737707300007 41.4232999255853,2.20701779959277 41.4188147630882,2.20105927389814 41.4190850168937))
2661405;3;633073;Barcelona;414.167.073.208.591;220.385.904.173.257;414.143.295.945.256;414.190.850.168.937;220.070.048.830.121;220.701.779.959.277;POLYGON((2.20070048830121 41.4145998059714,2.20105927389814 41.4190850168937,2.20701779959277 41.4188147630882,2.20665860749107 41.4143295945256,2.20070048830121 41.4145998059714))
2661406;3;633074;Barcelona;41.435.457.854.651;218.741.543.422.272;41.433.080.453.203;414.378.352.257.039;218.425.639.349.198;219.057.467.958.688;POLYGON((2.18425639349198 41.4333499121651,2.18461428333923 41.4378352257039,2.19057467958688 41.4375657245026,2.1902163828072 41.433080453203,2.18425639349198 41.4333499121651))
2661407;3;633074;Barcelona;414.399.431.440.498;218.777.356.807.225;414.375.657.245.026;414.423.205.331.967;218.461.428.333.923;219.093.305.748.302;POLYGON((2.18461428333923 41.4378352257039,2.18497225421173 41.4423205331967,2.19093305748302 41.4420509897507,2.19057467958688 41.4375657245026,2.18461428333923 41.4378352257039))
2661408;3;633074;Barcelona;414.396.734.680.241;219.373.412.726.746;414.372.959.159.227;414.420.509.897.507;219.057.467.958.688;21.968.937.796.168;POLYGON((2.19057467958688 41.4375657245026,2.19093305748302 41.4420509897507,2.1968937796168 41.441781138878,2.19653499471808 41.4372959159227,2.19057467958688 41.4375657245026))
2661409;3;633074;Barcelona;414.351.882.208.912;219.337.558.645.047;4.143.281.068.691;414.375.657.245.026;21.902.163.828.072;219.653.499.471.808;POLYGON((2.1902163828072 41.433080453203,2.19057467958688 41.4375657245026,2.19653499471808 41.4372959159227,2.19617629102702 41.43281068691,2.1902163828072 41.433080453203))
